item_id,category,brand,price,currency,status,created_at
p-0054,digital,daily-object,114100,KRW,sale,2025-11-07T00:00:00.000Z
p-0055,pet,daily-object,140600,KRW,sale,2025-08-12T00:00:00.000Z
p-0056,fashion,kindclub,91300,KRW,sale,2025-12-30T00:00:00.000Z
p-0057,sports,hauslab,78000,KRW,sale,2026-02-10T00:00:00.000Z
p-0058,living,soltree,153600,KRW,sale,2025-11-02T00:00:00.000Z
p-0059,food,bytenine,164000,KRW,sale,2025-08-04T00:00:00.000Z
p-0060,digital,peaksome,171800,KRW,sale,2025-08-23T00:00:00.000Z
p-0061,kids,nooni,98000,KRW,sale,2025-11-02T00:00:00.000Z
p-0062,beauty,daily-object,56100,KRW,sale,2025-12-09T00:00:00.000Z
p-0063,food,bytenine,56800,KRW,sale,2026-02-07T00:00:00.000Z
p-0064,sports,monday-edition,160500,KRW,soldout,2025-09-29T00:00:00.000Z
p-0065,fashion,roundlab,135500,KRW,sale,2025-07-20T00:00:00.000Z
p-0066,pet,roundlab,117200,KRW,sale,2025-08-07T00:00:00.000Z
p-0069,living,daily-object,53200,KRW,sale,2025-11-14T00:00:00.000Z
p-0070,digital,nooni,110200,KRW,sale,2025-08-11T00:00:00.000Z
p-0071,fashion,kindclub,39100,KRW,sale,2026-04-01T00:00:00.000Z
p-0072,food,nooni,116300,KRW,sale,2025-06-14T00:00:00.000Z
p-0073,food,oatberry,97200,KRW,soldout,2025-10-20T00:00:00.000Z
p-0078,fashion,peaksome,187600,KRW,sale,2025-07-16T00:00:00.000Z
p-0079,food,roundlab,129300,KRW,sale,2025-07-09T00:00:00.000Z
p-0080,living,bytenine,46400,KRW,sale,2025-11-19T00:00:00.000Z
p-0081,digital,nooni,58000,KRW,sale,2026-03-24T00:00:00.000Z
p-0082,pet,daily-object,183000,KRW,sale,2026-01-04T00:00:00.000Z
p-0083,sports,monday-edition,108900,KRW,sale,2026-05-04T00:00:00.000Z
p-0084,digital,nooni,36300,KRW,sale,2026-01-02T00:00:00.000Z
p-0085,sports,bytenine,27500,KRW,sale,2025-10-31T00:00:00.000Z
p-0086,living,bytenine,45200,KRW,sale,2025-11-24T00:00:00.000Z
p-0087,food,roundlab,97200,KRW,sale,2026-02-11T00:00:00.000Z
p-0088,pet,hauslab,182600,KRW,sale,2026-04-22T00:00:00.000Z
p-0089,fashion,hauslab,168500,KRW,sale,2026-04-01T00:00:00.000Z
p-0090,fashion,bytenine,144700,KRW,sale,2025-11-20T00:00:00.000Z
p-0091,kids,daily-object,14400,KRW,sale,2026-04-02T00:00:00.000Z
p-0092,kids,daily-object,92500,KRW,sale,2026-05-20T00:00:00.000Z
p-0093,beauty,daily-object,85600,KRW,sale,2026-02-23T00:00:00.000Z
p-0094,fashion,kindclub,147300,KRW,sale,2025-12-10T00:00:00.000Z
p-0095,digital,oatberry,55600,KRW,sale,2026-01-01T00:00:00.000Z
p-0096,beauty,kindclub,21700,KRW,sale,2025-08-12T00:00:00.000Z
p-0097,living,bytenine,159800,KRW,sale,2025-11-24T00:00:00.000Z
p-0098,beauty,nooni,25700,KRW,sale,2025-06-27T00:00:00.000Z
p-0099,digital,hauslab,62000,KRW,sale,2026-06-04T00:00:00.000Z
p-0100,living,monday-edition,27100,KRW,sale,2025-07-08T00:00:00.000Z
p-0101,sports,roundlab,73500,KRW,sale,2026-01-12T00:00:00.000Z
p-0102,food,oatberry,166100,KRW,sale,2026-01-16T00:00:00.000Z
p-0103,digital,monday-edition,183900,KRW,soldout,2026-02-18T00:00:00.000Z
p-0104,living,daily-object,183100,KRW,sale,2025-11-15T00:00:00.000Z
p-0105,sports,kindclub,104800,KRW,sale,2025-06-16T00:00:00.000Z
p-0106,pet,hauslab,17600,KRW,sale,2025-10-08T00:00:00.000Z
p-0107,pet,hauslab,48000,KRW,sale,2025-10-07T00:00:00.000Z
p-0108,living,soltree,139300,KRW,sale,2025-08-05T00:00:00.000Z
p-0109,pet,roundlab,155400,KRW,sale,2025-07-02T00:00:00.000Z
p-0110,digital,oatberry,64300,KRW,sale,2025-11-26T00:00:00.000Z
p-0112,sports,soltree,73000,KRW,sale,2026-05-12T00:00:00.000Z
p-0113,kids,peaksome,35700,KRW,sale,2026-01-12T00:00:00.000Z
p-0115,sports,monday-edition,136800,KRW,sale,2025-12-03T00:00:00.000Z
p-0116,kids,hauslab,16300,KRW,sale,2025-06-02T00:00:00.000Z
p-0117,fashion,hauslab,105000,KRW,sale,2025-09-04T00:00:00.000Z
p-0118,sports,hauslab,23800,KRW,sale,2026-02-08T00:00:00.000Z
p-0119,kids,soltree,160500,KRW,sale,2025-08-09T00:00:00.000Z
p-0120,sports,nooni,152600,KRW,sale,2026-05-07T00:00:00.000Z
p-0121,digital,daily-object,37800,KRW,soldout,2026-05-02T00:00:00.000Z
p-0122,living,soltree,143000,KRW,sale,2025-08-13T00:00:00.000Z
p-0124,living,monday-edition,8100,KRW,sale,2025-07-11T00:00:00.000Z
p-0126,sports,kindclub,32100,KRW,sale,2026-02-24T00:00:00.000Z
p-0127,sports,kindclub,180700,KRW,sale,2026-03-07T00:00:00.000Z
p-0128,kids,daily-object,178400,KRW,sale,2025-08-16T00:00:00.000Z
p-0129,sports,peaksome,94100,KRW,sale,2025-06-09T00:00:00.000Z
p-0130,kids,nooni,172400,KRW,sale,2025-12-08T00:00:00.000Z
p-0131,living,daily-object,39900,KRW,sale,2025-09-04T00:00:00.000Z
p-0132,digital,monday-edition,127800,KRW,sale,2026-05-03T00:00:00.000Z
p-0133,digital,nooni,78100,KRW,sale,2026-05-06T00:00:00.000Z
p-0134,pet,peaksome,169500,KRW,sale,2026-02-11T00:00:00.000Z
p-0135,food,peaksome,82900,KRW,sale,2025-08-17T00:00:00.000Z
p-0136,food,peaksome,144000,KRW,sale,2025-12-12T00:00:00.000Z
p-0138,pet,kindclub,44000,KRW,sale,2025-08-14T00:00:00.000Z
p-0139,fashion,bytenine,32200,KRW,sale,2026-05-23T00:00:00.000Z
p-0140,pet,soltree,115000,KRW,sale,2025-06-30T00:00:00.000Z
p-0142,fashion,roundlab,46900,KRW,sale,2025-07-20T00:00:00.000Z
p-0144,pet,daily-object,118300,KRW,soldout,2025-08-12T00:00:00.000Z
p-0145,sports,nooni,8000,KRW,sale,2025-08-26T00:00:00.000Z
p-0146,digital,hauslab,132100,KRW,sale,2026-01-02T00:00:00.000Z
p-0147,food,bytenine,81500,KRW,sale,2025-10-09T00:00:00.000Z
p-0148,digital,roundlab,148700,KRW,sale,2025-09-25T00:00:00.000Z
p-0149,sports,monday-edition,58600,KRW,sale,2026-04-23T00:00:00.000Z
p-0150,beauty,monday-edition,186100,KRW,sale,2025-12-05T00:00:00.000Z
p-0152,pet,bytenine,95100,KRW,sale,2026-04-01T00:00:00.000Z
p-0154,fashion,kindclub,69600,KRW,sale,2026-05-29T00:00:00.000Z
p-0155,pet,roundlab,77600,KRW,sale,2025-06-14T00:00:00.000Z
p-0157,beauty,nooni,101600,KRW,sale,2026-01-17T00:00:00.000Z
p-0158,sports,hauslab,120900,KRW,sale,2025-06-09T00:00:00.000Z
p-0161,beauty,bytenine,187400,KRW,sale,2025-07-08T00:00:00.000Z
p-0163,beauty,peaksome,46100,KRW,soldout,2026-05-09T00:00:00.000Z
p-0164,sports,daily-object,10800,KRW,sale,2025-12-17T00:00:00.000Z
p-0165,sports,soltree,181400,KRW,soldout,2026-04-16T00:00:00.000Z
p-0166,living,nooni,94300,KRW,sale,2025-11-30T00:00:00.000Z
p-0167,living,hauslab,74100,KRW,sale,2026-03-08T00:00:00.000Z
p-0168,food,bytenine,129300,KRW,sale,2026-03-24T00:00:00.000Z
p-0169,pet,kindclub,94400,KRW,sale,2026-03-23T00:00:00.000Z
p-0171,sports,peaksome,151900,KRW,sale,2026-02-02T00:00:00.000Z
p-0174,living,monday-edition,88300,KRW,sale,2026-02-07T00:00:00.000Z
p-0177,living,monday-edition,13700,KRW,sale,2026-01-05T00:00:00.000Z
p-0178,food,soltree,78900,KRW,sale,2025-09-08T00:00:00.000Z
p-0179,beauty,hauslab,73500,KRW,sale,2025-11-01T00:00:00.000Z
p-0180,living,peaksome,25400,KRW,sale,2026-03-03T00:00:00.000Z
p-0181,beauty,soltree,86200,KRW,sale,2025-07-05T00:00:00.000Z
p-0182,pet,nooni,48800,KRW,sale,2025-06-05T00:00:00.000Z
p-0183,pet,monday-edition,163600,KRW,sale,2026-03-25T00:00:00.000Z
p-0184,digital,peaksome,23200,KRW,sale,2025-10-10T00:00:00.000Z
p-0186,food,peaksome,88000,KRW,sale,2025-06-05T00:00:00.000Z
p-0189,food,oatberry,179300,KRW,sale,2026-01-05T00:00:00.000Z
p-0191,living,bytenine,43500,KRW,sale,2026-01-23T00:00:00.000Z
p-0192,beauty,roundlab,81400,KRW,sale,2025-10-25T00:00:00.000Z
p-0193,beauty,oatberry,44300,KRW,sale,2026-06-08T00:00:00.000Z
p-0194,pet,oatberry,152200,KRW,sale,2025-10-01T00:00:00.000Z
p-0195,beauty,nooni,115600,KRW,sale,2026-03-13T00:00:00.000Z
p-0197,digital,nooni,158800,KRW,sale,2025-06-05T00:00:00.000Z
p-0200,digital,monday-edition,59100,KRW,sale,2025-06-29T00:00:00.000Z
p-0202,living,soltree,88500,KRW,sale,2025-11-22T00:00:00.000Z
p-0204,sports,hauslab,95300,KRW,sale,2026-03-10T00:00:00.000Z
p-0205,sports,nooni,84000,KRW,sale,2025-09-26T00:00:00.000Z
p-0208,pet,nooni,132800,KRW,sale,2025-08-20T00:00:00.000Z
p-0209,beauty,hauslab,149600,KRW,sale,2025-11-27T00:00:00.000Z
p-0210,food,kindclub,156000,KRW,sale,2025-12-03T00:00:00.000Z
p-0211,beauty,oatberry,9200,KRW,sale,2025-10-22T00:00:00.000Z
p-0213,sports,bytenine,27000,KRW,sale,2025-06-10T00:00:00.000Z
p-0214,sports,bytenine,85500,KRW,sale,2026-03-11T00:00:00.000Z
p-0215,sports,nooni,70900,KRW,sale,2025-09-14T00:00:00.000Z
p-0217,beauty,daily-object,67900,KRW,sale,2025-12-12T00:00:00.000Z
p-0218,kids,hauslab,140200,KRW,sale,2026-03-12T00:00:00.000Z
p-0219,pet,hauslab,178700,KRW,sale,2026-03-23T00:00:00.000Z
p-0222,kids,soltree,59500,KRW,sale,2025-10-16T00:00:00.000Z
p-0223,food,peaksome,175700,KRW,sale,2025-07-25T00:00:00.000Z
p-0225,digital,kindclub,67800,KRW,sale,2026-01-22T00:00:00.000Z
p-0226,digital,daily-object,30700,KRW,sale,2026-04-28T00:00:00.000Z
p-0227,beauty,kindclub,134800,KRW,sale,2026-02-17T00:00:00.000Z
p-0228,digital,oatberry,169900,KRW,sale,2026-05-19T00:00:00.000Z
p-0230,living,monday-edition,25600,KRW,sale,2025-08-14T00:00:00.000Z
p-0231,kids,monday-edition,63300,KRW,sale,2026-01-20T00:00:00.000Z
p-0232,digital,soltree,121400,KRW,sale,2026-03-04T00:00:00.000Z
p-0233,pet,nooni,140000,KRW,sale,2026-05-30T00:00:00.000Z
p-0234,kids,nooni,141300,KRW,sale,2026-06-14T00:00:00.000Z
p-0237,living,oatberry,98300,KRW,sale,2026-04-13T00:00:00.000Z
p-0238,kids,nooni,67500,KRW,sale,2026-03-26T00:00:00.000Z
p-0239,food,nooni,42100,KRW,sale,2025-05-30T00:00:00.000Z
p-0242,fashion,monday-edition,25600,KRW,sale,2026-01-28T00:00:00.000Z
p-0243,pet,nooni,147300,KRW,sale,2026-04-15T00:00:00.000Z
p-0244,digital,bytenine,133800,KRW,sale,2025-06-15T00:00:00.000Z
p-0248,beauty,peaksome,136500,KRW,sale,2025-07-11T00:00:00.000Z
p-0249,digital,oatberry,101300,KRW,sale,2025-08-18T00:00:00.000Z
p-0250,digital,daily-object,127000,KRW,sale,2025-09-07T00:00:00.000Z
p-0251,digital,soltree,145600,KRW,sale,2026-05-04T00:00:00.000Z
p-0252,sports,roundlab,10000,KRW,sale,2026-01-21T00:00:00.000Z
p-0254,kids,kindclub,127800,KRW,sale,2026-01-13T00:00:00.000Z
p-0257,kids,monday-edition,155800,KRW,sale,2026-02-21T00:00:00.000Z
p-0258,beauty,hauslab,70800,KRW,sale,2026-04-15T00:00:00.000Z
p-0267,sports,daily-object,15400,KRW,sale,2025-06-23T00:00:00.000Z
p-0269,kids,roundlab,112200,KRW,sale,2026-02-21T00:00:00.000Z
p-0270,beauty,hauslab,54500,KRW,sale,2025-09-01T00:00:00.000Z
p-0271,pet,kindclub,56300,KRW,soldout,2025-10-08T00:00:00.000Z
p-0273,beauty,oatberry,186500,KRW,sale,2025-09-13T00:00:00.000Z
p-0274,food,oatberry,130400,KRW,sale,2025-12-10T00:00:00.000Z
p-0275,beauty,nooni,25400,KRW,sale,2025-09-07T00:00:00.000Z
p-0276,beauty,kindclub,12000,KRW,sale,2026-03-19T00:00:00.000Z
p-0277,beauty,hauslab,10500,KRW,sale,2025-11-03T00:00:00.000Z
p-0281,living,monday-edition,142300,KRW,sale,2026-06-03T00:00:00.000Z
p-0282,pet,kindclub,77900,KRW,sale,2026-04-22T00:00:00.000Z
p-0290,food,peaksome,171300,KRW,sale,2025-11-28T00:00:00.000Z
p-0293,sports,oatberry,176500,KRW,sale,2026-03-21T00:00:00.000Z
p-0295,living,peaksome,16100,KRW,sale,2025-05-30T00:00:00.000Z
p-0297,pet,bytenine,132400,KRW,sale,2025-07-19T00:00:00.000Z
p-0299,pet,monday-edition,55700,KRW,sale,2025-12-25T00:00:00.000Z
